WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24229,20150901,1253,11,SCT049 SCT080 BKN250, ,10.00, , , ,75, ,23.9, ,62, ,16.4, ,52, ,11.1, , 45, ,11, ,220, ,17, ,29.73, , , , , ,29.85, ,AA, , , ,29.85,
24229,20150901,1353,11,SCT050 BKN080 OVC250, ,10.00, , , ,75, ,23.9, ,62, ,16.4, ,52, ,11.1, , 45, , 7, ,VR , , , ,29.72, , , , , ,29.84, ,AA, , , ,29.84,
24229,20150901,1453,11,BKN050 BKN080 OVC200, ,10.00, , , ,76, ,24.4, ,62, ,16.9, ,53, ,11.7, , 45, ,11, ,270, , , ,29.71, , , , , ,29.83, ,AA, , , ,29.83,
24229,20150901,1553,11,FEW050 BKN080 OVC200, ,10.00, , , ,74, ,23.3, ,63, ,17.3, ,56, ,13.3, , 54, ,11, ,310, , , ,29.70, , , , , ,29.81, ,AA, , , ,29.82,
24229,20150901,1653,11,FEW048 BKN065 OVC200, ,10.00, , , ,73, ,22.8, ,62, ,16.8, ,55, ,12.8, , 53, ,13, ,280, , , ,29.70, , , , , ,29.81, ,AA, , , ,29.82,
24229,20150901,1753,11,SCT055 OVC080, ,10.00, , , ,70, ,21.1, ,62, ,16.5, ,56, ,13.3, , 61, ,13, ,280, , , ,29.70, , , , , ,29.82, ,AA, , , ,29.82,
24229,20150901,1853,11,BKN060 OVC085, ,10.00, , , ,69, ,20.6, ,61, ,16.3, ,56, ,13.3, , 63, , 8, ,290, , , ,29.71, , , , , ,29.83, ,AA, , , ,29.83,
24229,20150901,1953,11,FEW040 OVC060, ,10.00, ,-RA, ,67, ,19.4, ,61, ,16.1, ,57, ,13.9, , 70, ,10, ,020, , , ,29.72, , , , , ,29.83, ,AA, ,  T, ,29.84,
24229,20150901,2023,11,FEW018 BKN024 OVC029, , 7.00, ,-RA, ,63, ,17.2, ,60, ,15.6, ,58, ,14.4, , 84, , 9, ,320, , , ,29.73, , , , , ,M, ,SP, , , ,29.85,
24229,20150901,2053,11,FEW014 BKN021 OVC033, ,10.00, ,-RA, ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 7, ,330, , , ,29.73, , , , , ,29.85, ,AA, ,0.02, ,29.85,
24229,20150901,2153,11,FEW012 OVC021, , 4.00, ,RA BR, ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, , 9, ,310, , , ,29.74, , , , , ,29.86, ,AA, ,0.04,s,29.86,
24229,20150901,2209,11,FEW008 BKN023 OVC028, , 7.00, ,-RA, ,58, ,14.4, ,57, ,14.1, ,57, ,13.9, , 97, , 6, ,330, , , ,29.74, , , , , ,M, ,SP, , , ,29.86,
24229,20150901,2248,11,SCT028 OVC036, ,10.00, , , ,59, ,15.0, ,58, ,14.3, ,57, ,14.0, , 93, , 0, ,000, , , ,29.74, , , , , ,M, ,SP, , , ,29.86,
24229,20150901,2251,11,FEW008 SCT028 OVC036, ,10.00, , , ,59, ,15.0, ,58, ,14.3, ,57, ,14.0, , 93, , 0, ,000, , , ,29.74, , , , , ,M, ,SP, , , ,29.86,
24229,20150901,2253,11,FEW008 SCT028 OVC036, ,10.00, , , ,59, ,15.0, ,58, ,14.3, ,57, ,13.9, , 93, , 0, ,000, , , ,29.74, , , , , ,29.86, ,AA, ,  T, ,29.86,
24229,20150901,2353,11,FEW015 FEW030 BKN080, ,10.00, , , ,58, ,14.4, ,57, ,14.1, ,57, ,13.9, , 97, , 6, ,140, , , ,29.75, , , , , ,29.87, ,AA, , , ,29.87,
24229,20150902,0053,11,FEW015 BKN070 BKN080, ,10.00, , , ,59, ,15.0, ,58, ,14.3, ,57, ,13.9, , 93, , 0, ,000, , , ,29.75, , , , , ,29.87, ,AA, , , ,29.87,
24229,20150902,0153,11,SCT075 BKN095, ,10.00, , , ,59, ,15.0, ,58, ,14.3, ,57, ,13.9, , 93, , 6, ,100, , , ,29.76, , , , , ,29.87, ,AA, , , ,29.88,
24229,20150902,0253,11,FEW037 BKN047 OVC060, , 7.00, ,-RA, ,59, ,15.0, ,58, ,14.6, ,58, ,14.4, , 97, , 3, ,130, , , ,29.76, , , , , ,29.87, ,AA, ,  T, ,29.88,
24229,20150902,0313,11,FEW019 BKN026 OVC055, , 8.00, ,-RA, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, , 0, ,000, , , ,29.76, , , , , ,M, ,SP, , , ,29.88,
24229,20150902,0322,11,FEW019 SCT026 OVC055, ,10.00, , , ,59, ,15.0, ,58, ,14.6, ,58, ,14.4, , 97, , 0, ,000, , , ,29.76, , , , , ,M, ,SP, , , ,29.88,
24229,20150902,0353,11,FEW020 SCT042 OVC060, ,10.00, , , ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 0, ,000, , , ,29.76, , , , , ,29.87, ,AA, ,  T, ,29.88,
24229,20150902,0453,11,FEW020 BKN035 OVC042, ,10.00, ,-RA, ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, , 0, ,000, , , ,29.77, , , , , ,29.89, ,AA, ,  T, ,29.89,
24229,20150902,0508,11,FEW013 BKN029 OVC036, , 5.00, ,-RA BR, ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, , 7, ,310, , , ,29.78, , , , , ,M, ,SP, , , ,29.90,
24229,20150902,0527,11,FEW013 SCT029 OVC050, ,10.00, , , ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, , 0, ,000, , , ,29.78, , , , , ,M, ,SP, , , ,29.90,
24229,20150902,0553,11,FEW013 BKN046 BKN080, ,10.00, , , ,58, ,14.4, ,57, ,13.8, ,56, ,13.3, , 93, , 0, ,000, , , ,29.79, , , , , ,29.90, ,AA, ,0.02, ,29.91,
24229,20150902,0653,11,FEW013 BKN060 OVC085, ,10.00, , , ,60, ,15.6, ,58, ,14.2, ,56, ,13.3, , 87, , 5, ,160, , , ,29.80, , , , , ,29.91, ,AA, , , ,29.92,
24229,20150902,0753,11,FEW013 SCT047 OVC060, ,10.00, , , ,61, ,16.1, ,58, ,14.5, ,56, ,13.3, , 84, , 6, ,190, , , ,29.80, , , , , ,29.92, ,AA, ,  T, ,29.92,
24229,20150902,0853,11,FEW013 SCT048 OVC060, ,10.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, , 0, ,000, , , ,29.81, , , , , ,29.93, ,AA, , , ,29.93,
24229,20150902,0953,11,SCT015 BKN075 BKN250, ,10.00, , , ,61, ,16.1, ,59, ,14.8, ,57, ,13.9, , 87, , 3, ,270, , , ,29.82, , , , , ,29.94, ,AA, ,0.02, ,29.94,
24229,20150902,1053,11,BKN031 BKN050 BKN080, ,10.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, , 5, ,270, , , ,29.82, , , , , ,29.94, ,AA, , , ,29.94,
24229,20150902,1153,11,BKN036 BKN060 BKN085, ,10.00, , , ,67, ,19.4, ,59, ,14.7, ,52, ,11.1, , 59, , 3, ,VR , , , ,29.81, , , , , ,29.93, ,AA, , , ,29.93,
24229,20150902,1253,11,FEW020 BKN048 BKN090, ,10.00, , , ,70, ,21.1, ,59, ,15.1, ,51, ,10.6, , 51, , 6, ,VR , , , ,29.80, , , , , ,29.91, ,AA, , , ,29.92,
24229,20150902,1353,11,SCT060TCU SCT090, ,10.00, , , ,71, ,21.7, ,59, ,14.8, ,49, ,9.4, , 46, , 5, ,VR , , , ,29.80, , , , , ,29.91, ,AA, , , ,29.92,
24229,20150902,1453,11,SCT060 SCT090, ,10.00, , , ,71, ,21.7, ,57, ,14.1, ,46, ,7.8, , 41, , 7, ,290, , , ,29.79, , , , , ,29.91, ,AA, , , ,29.91,
24229,20150902,1553,11,SCT070 SCT090, ,10.00, , , ,73, ,22.8, ,57, ,14.0, ,44, ,6.7, , 35, , 8, ,310, , , ,29.79, , , , , ,29.91, ,AA, , , ,29.91,
24229,20150902,1653,11,BKN075 BKN090, ,10.00, , , ,68, ,20.0, ,58, ,14.4, ,50, ,10.0, , 53, ,10, ,190, , , ,29.79, , , , , ,29.91, ,AA, , , ,29.91,
24229,20150902,1753,11,BKN070 BKN090, ,10.00, , , ,69, ,20.6, ,57, ,13.8, ,47, ,8.3, , 46, , 7, ,360, , , ,29.80, , , , , ,29.92, ,AA, , , ,29.92,
24229,20150902,1853,11,FEW049 BKN080 BKN100, ,10.00, ,-RA, ,64, ,17.8, ,55, ,12.9, ,48, ,8.9, , 56, , 8, ,330, , , ,29.82, , , , , ,29.93, ,AA, ,0.01, ,29.94,
24229,20150902,1953,11,FEW050 SCT065 SCT095, ,10.00, , , ,62, ,16.7, ,55, ,12.7, ,49, ,9.4, , 63, ,11, ,320, , , ,29.84, , , , , ,29.96, ,AA, , , ,29.96,
24229,20150902,2053,11,SCT065 BKN080, ,10.00, , , ,62, ,16.7, ,55, ,12.7, ,49, ,9.4, , 63, , 3, ,020, , , ,29.85, , , , , ,29.97, ,AA, , , ,29.97,
24229,20150902,2153,11,BKN070 OVC080, ,10.00, , , ,61, ,16.1, ,55, ,12.5, ,49, ,9.4, , 65, , 5, ,320, , , ,29.86, , , , , ,29.98, ,AA, , , ,29.98,
24229,20150902,2253,11,BKN075, ,10.00, , , ,59, ,15.0, ,54, ,12.0, ,49, ,9.4, , 70, , 3, ,330, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150902,2353,11,BKN080, ,10.00, , , ,59, ,15.0, ,54, ,12.0, ,49, ,9.4, , 70, , 3, ,310, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150903,0053,11,SCT085, ,10.00, , , ,56, ,13.3, ,53, ,11.5, ,50, ,10.0, , 80, , 5, ,240, , , ,29.87, , , , , ,29.99, ,AA, , , ,29.99,
24229,20150903,0153,11,FEW085, ,10.00, , , ,55, ,12.8, ,52, ,11.0, ,49, ,9.4, , 80, , 0, ,000, , , ,29.88, , , , , ,30.00, ,AA, , , ,30.00,
24229,20150903,0253,11,FEW085, ,10.00, , , ,54, ,12.2, ,52, ,11.0, ,50, ,10.0, , 86, , 0, ,000, , , ,29.89, , , , , ,30.01, ,AA, , , ,30.01,
24229,20150903,0353,11,FEW085, ,10.00, , , ,53, ,11.7, ,51, ,10.5, ,49, ,9.4, , 86, , 0, ,000, , , ,29.90, , , , , ,30.02, ,AA, , , ,30.02,
24229,20150903,0453,11,FEW020 SCT032, ,10.00, , , ,52, ,11.1, ,50, ,10.2, ,49, ,9.4, , 90, , 0, ,000, , , ,29.91, , , , , ,30.02, ,AA, , , ,30.03,
24229,20150903,0551,11,FEW005 FEW030, ,10.00, , , ,50, ,10.0, ,49, ,9.4, ,48, ,9.0, , 93, , 3, ,240, , , ,29.92, , , , , ,M, ,SP, , , ,30.04,
24229,20150903,0553,11,FEW005 FEW030, ,10.00, , , ,50, ,10.0, ,49, ,9.4, ,48, ,8.9, , 93, , 3, ,230, , , ,29.92, , , , , ,30.03, ,AA, , , ,30.04,
24229,20150903,0653,11,SCT007 SCT030, ,10.00, , , ,53, ,11.7, ,51, ,10.7, ,50, ,10.0, , 90, , 3, ,240, , , ,29.93, , , , , ,30.05, ,AA, , , ,30.05,
24229,20150903,0753,11,FEW009 FEW030, ,10.00, , , ,57, ,13.9, ,54, ,12.1, ,51, ,10.6, , 80, , 0, ,000, , , ,29.94, , , , , ,30.05, ,AA, , , ,30.06,
24229,20150903,0853,11,FEW020 FEW060, ,10.00, , , ,60, ,15.6, ,55, ,12.8, ,51, ,10.6, , 72, , 5, ,160, , , ,29.93, , , , , ,30.05, ,AA, , , ,30.05,
24229,20150903,0953,11,FEW022 SCT040, ,10.00, , , ,62, ,16.7, ,55, ,13.0, ,50, ,10.0, , 65, , 6, ,040, , , ,29.93, , , , , ,30.04, ,AA, , , ,30.05,
24229,20150903,1053,11,FEW035 FEW060, ,10.00, , , ,64, ,17.8, ,56, ,13.2, ,49, ,9.4, , 58, , 5, ,060, , , ,29.91, , , , , ,30.03, ,AA, , , ,30.03,
24229,20150903,1153,11,FEW044 FEW060, ,10.00, , , ,67, ,19.4, ,56, ,13.1, ,46, ,7.8, , 47, , 7, ,VR , , , ,29.89, , , , , ,30.01, ,AA, , , ,30.01,
24229,20150903,1253,11,FEW045 BKN075 BKN090, ,10.00, ,-RA, ,65, ,18.3, ,54, ,12.4, ,45, ,7.2, , 49, , 0, ,000, , , ,29.88, , , , , ,30.00, ,AA, ,  T, ,30.00,
24229,20150903,1353,11,SCT045 BKN070 BKN090, ,10.00, , , ,63, ,17.2, ,55, ,12.5, ,47, ,8.3, , 56, , 9, ,300, , , ,29.90, , , , , ,30.01, ,AA, ,  T, ,30.02,
24229,20150903,1453,11,SCT045 BKN080 BKN150, ,10.00, , , ,65, ,18.3, ,55, ,12.9, ,47, ,8.3, , 52, , 3, ,340, , , ,29.88, , , , , ,30.00, ,AA, ,  T, ,30.00,
24229,20150903,1553,11,FEW045 BKN070 BKN090, ,10.00, ,-RA, ,63, ,17.2, ,55, ,13.0, ,49, ,9.4, , 60, ,13, ,290, , , ,29.89, , , , , ,30.00, ,AA, ,  T, ,30.01,
24229,20150903,1653,11,FEW045 BKN075 BKN150, ,10.00, , , ,63, ,17.2, ,56, ,13.2, ,50, ,10.0, , 63, , 9, ,330, , , ,29.88, , , , , ,30.00, ,AA, ,  T, ,30.00,
24229,20150903,1753,11,SCT090 BKN200, ,10.00, , , ,61, ,16.1, ,55, ,12.8, ,50, ,10.0, , 67, , 5, ,340, , , ,29.88, , , , , ,29.99, ,AA, , , ,30.00,
24229,20150903,1853,11,SCT070 BKN090 BKN200, ,10.00, , , ,59, ,15.0, ,55, ,12.5, ,51, ,10.6, , 75, , 5, ,340, , , ,29.88, , , , , ,29.99, ,AA, , , ,30.00,
24229,20150903,1953,11,SCT075 BKN090, ,10.00, , , ,59, ,15.0, ,54, ,12.0, ,49, ,9.4, , 70, , 3, ,260, , , ,29.88, , , , , ,30.00, ,AA, , , ,30.00,
24229,20150903,2053,11,FEW090 SCT200, ,10.00, , , ,57, ,13.9, ,54, ,12.1, ,51, ,10.6, , 80, , 3, ,VR , , , ,29.88, , , , , ,29.99, ,AA, , , ,30.00,
24229,20150903,2153,11,FEW080, ,10.00, , , ,55, ,12.8, ,53, ,11.5, ,51, ,10.6, , 86, , 3, ,270, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150903,2253,11,FEW060, ,10.00, , , ,54, ,12.2, ,52, ,11.3, ,51, ,10.6, , 90, , 0, ,000, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150903,2353,11,FEW020, ,10.00, , , ,54, ,12.2, ,53, ,11.6, ,52, ,11.1, , 93, , 5, ,290, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150904,0044,11,FEW006, ,10.00, , , ,53, ,11.7, ,52, ,11.0, ,51, ,10.6, , 93, , 5, ,320, , , ,29.86, , , , , ,M, ,SP, , , ,29.98,
24229,20150904,0053,11,FEW006, ,10.00, , , ,53, ,11.7, ,52, ,11.3, ,52, ,11.1, , 96, , 5, ,320, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150904,0113,11,BKN006, ,10.00, , , ,53, ,11.7, ,52, ,11.0, ,51, ,10.6, , 93, , 5, ,320, , , ,29.86, , , , , ,M, ,SP, , , ,29.98,
24229,20150904,0153,11,OVC006, ,10.00, , , ,52, ,11.1, ,51, ,10.8, ,51, ,10.6, , 96, , 5, ,010, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150904,0237,11,OVC004, , 8.00, , , ,52, ,11.1, ,51, ,10.8, ,51, ,10.6, , 96, , 5, ,280, , , ,29.86, , , , , ,M, ,SP, , , ,29.98,
24229,20150904,0253,11,OVC004, ,10.00, , , ,52, ,11.1, ,51, ,10.5, ,50, ,10.0, , 93, , 3, ,350, , , ,29.86, , , , , ,29.97, ,AA, , , ,29.98,
24229,20150904,0353,11,OVC004, ,10.00, , , ,51, ,10.6, ,50, ,10.2, ,50, ,10.0, , 96, , 0, ,000, , , ,29.86, , , , , ,29.98, ,AA, , , ,29.98,
24229,20150904,0406,11,OVC003, , 0.25, , , ,51, ,10.6, ,50, ,10.2, ,50, ,10.0, , 96, , 0, ,000, , , ,29.86, , , , , ,M, ,SP, , , ,29.98,
24229,20150904,0416,11,OVC003, , 3.00, , , ,51, ,10.6, ,50, ,10.2, ,50, ,10.0, , 96, , 0, ,000, , , ,29.86, , , , , ,M, ,SP, , , ,29.98,
24229,20150904,0453,11,OVC004, ,10.00, , , ,50, ,10.0, ,49, ,9.7, ,49, ,9.4, , 96, , 0, ,000, , , ,29.86, , , , , ,29.98, ,AA, , , ,29.98,
24229,20150904,0522,11,OVC005, ,10.00, , , ,50, ,10.0, ,49, ,9.7, ,49, ,9.4, , 96, , 3, ,270, , , ,29.87, , , , , ,M, ,SP, , , ,29.99,
24229,20150904,0553,11,BKN006 OVC016, ,10.00, , , ,50, ,10.0, ,49, ,9.7, ,49, ,9.4, , 96, , 5, ,290, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150904,0607,11,BKN004 BKN016, , 2.00, , , ,50, ,10.0, ,49, ,9.7, ,49, ,9.4, , 96, , 6, ,280, , , ,29.87, , , , , ,M, ,SP, , , ,29.99,
24229,20150904,0624,11,BKN003 OVC010, , 1.00, , , ,49, ,9.4, ,49, ,9.4, ,49, ,9.4, ,100, , 6, ,300, , , ,29.87, , , , , ,M, ,SP, , , ,29.99,
24229,20150904,0653,11,BKN003 OVC010, , 1.00, ,BR, ,50, ,10.0, ,49, ,9.7, ,49, ,9.4, , 96, , 8, ,320, , , ,29.88, , , , , ,29.99, ,AA, , , ,30.00,
24229,20150904,0737,11,BKN003 OVC010, , 2.00, , , ,50, ,10.0, ,49, ,9.4, ,48, ,8.9, , 93, , 6, ,310, , , ,29.88, , , , , ,M, ,SP, , , ,30.00,
24229,20150904,0753,11,BKN003 OVC010, , 2.00, , , ,50, ,10.0, ,49, ,9.7, ,49, ,9.4, , 96, , 0, ,000, , , ,29.88, , , , , ,30.00, ,AA, , , ,30.00,
24229,20150904,0800,11,BKN004 OVC010, , 3.00, , , ,50, ,10.0, ,49, ,9.7, ,49, ,9.4, , 96, , 0, ,000, , , ,29.88, , , , , ,M, ,SP, , , ,30.00,
24229,20150904,0851,11,SCT003 BKN007 OVC016, , 7.00, , , ,54, ,12.0, ,51, ,10.5, ,48, ,9.0, , 80, , 6, ,280, , , ,29.88, , , , , ,M, ,SP, , , ,30.00,
24229,20150904,0853,11,SCT003 BKN007 OVC016, , 7.00, , , ,53, ,11.7, ,51, ,10.5, ,49, ,9.4, , 86, , 6, ,280, , , ,29.88, , , , , ,30.00, ,AA, , , ,30.00,
24229,20150904,0932,11,SCT007 OVC012, ,10.00, , , ,54, ,12.2, ,51, ,10.5, ,48, ,8.9, , 80, , 8, ,310, , , ,29.88, , , , , ,M, ,SP, , , ,30.00,
24229,20150904,0953,11,FEW007 OVC014, ,10.00, , , ,55, ,12.8, ,51, ,10.7, ,48, ,8.9, , 77, , 6, ,350, , , ,29.89, , , , , ,30.00, ,AA, , , ,30.01,
24229,20150904,1053,11,BKN014, ,10.00, , , ,57, ,13.9, ,53, ,11.5, ,49, ,9.4, , 75, , 6, ,310, , , ,29.88, , , , , ,30.00, ,AA, , , ,30.00,
24229,20150904,1101,11,BKN016, ,10.00, , , ,57, ,13.9, ,53, ,11.5, ,49, ,9.4, , 75, , 5, ,VR , , , ,29.88, , , , , ,M, ,SP, , , ,30.00,
24229,20150904,1145,11,SCT025 SCT250, ,10.00, , , ,61, ,16.1, ,55, ,12.5, ,49, ,9.4, , 65, , 6, ,040, , , ,29.86, , , , , ,M, ,SP, , , ,29.98,
24229,20150904,1153,11,SCT025 SCT250, ,10.00, , , ,62, ,16.7, ,55, ,12.7, ,49, ,9.4, , 63, , 8, ,320, , , ,29.86, , , , , ,29.97, ,AA, , , ,29.98,
24229,20150904,1253,11,SCT036 SCT250, ,10.00, , , ,64, ,17.8, ,55, ,12.9, ,48, ,8.9, , 56, ,11, ,310, , , ,29.83, , , , , ,29.95, ,AA, , , ,29.95,
24229,20150904,1353,11,SCT037 SCT250, ,10.00, , , ,66, ,18.9, ,56, ,13.4, ,48, ,9.1, , 52, ,11, ,310, , , ,29.82, , , , , ,29.95, ,AA, , , ,29.94,
24229,20150904,1453,11,SCT045 SCT250, ,10.00, , , ,68, ,20.0, ,55, ,12.7, ,43, ,6.1, , 41, ,10, ,290, , , ,29.81, , , , , ,29.93, ,AA, , , ,29.93,
24229,20150904,1553,11,SCT050 SCT250, ,10.00, , , ,68, ,20.0, ,55, ,12.9, ,44, ,6.7, , 42, ,14, ,280, ,20, ,29.82, , , , , ,29.93, ,AA, , , ,29.94,
24229,20150904,1653,11,FEW050 SCT080 SCT250, ,10.00, , , ,65, ,18.3, ,54, ,12.2, ,44, ,6.7, , 47, ,10, ,310, , , ,29.83, , , , , ,29.95, ,AA, , , ,29.95,
24229,20150904,1753,11,FEW055TCU FEW080 SCT250, ,10.00, , , ,64, ,17.8, ,54, ,12.4, ,46, ,7.8, , 52, , 9, ,280, , , ,29.83, , , , , ,29.95, ,AA, , , ,29.95,
24229,20150904,1853,11,FEW050 FEW080 FEW250, ,10.00, , , ,63, ,17.2, ,54, ,12.2, ,46, ,7.8, , 54, ,13, ,280, , , ,29.84, , , , , ,29.96, ,AA, , , ,29.96,
24229,20150904,1953,11,FEW050 FEW080, ,10.00, , , ,60, ,15.6, ,53, ,11.7, ,47, ,8.3, , 62, ,10, ,310, , , ,29.86, , , , , ,29.98, ,AA, , , ,29.98,
24229,20150904,2053,11,FEW060 FEW090, ,10.00, , , ,59, ,15.0, ,54, ,12.0, ,49, ,9.4, , 70, , 9, ,320, , , ,29.87, , , , , ,29.98, ,AA, , , ,29.99,
24229,20150904,2153,11,FEW060, ,10.00, , , ,58, ,14.4, ,53, ,11.7, ,49, ,9.4, , 72, , 8, ,290, , , ,29.88, , , , , ,29.99, ,AA, , , ,30.00,
24229,20150904,2253,11,FEW070, ,10.00, , , ,57, ,13.9, ,52, ,11.0, ,47, ,8.3, , 69, , 9, ,300, , , ,29.89, , , , , ,30.01, ,AA, , , ,30.01,
24229,20150904,2353,11,SCT080, ,10.00, , , ,56, ,13.3, ,51, ,10.7, ,47, ,8.3, , 72, , 3, ,330, , , ,29.91, , , , , ,30.02, ,AA, , , ,30.03,
24229,20150905,0053,11,FEW080, ,10.00, , , ,54, ,12.2, ,50, ,10.2, ,47, ,8.3, , 77, , 3, ,280, , , ,29.92, , , , , ,30.03, ,AA, , , ,30.04,
24229,20150905,0153,11,OVC042, ,10.00, , , ,55, ,12.8, ,51, ,10.7, ,48, ,8.9, , 77, , 3, ,250, , , ,29.93, , , , , ,30.04, ,AA, , , ,30.05,
24229,20150905,0253,11,FEW049 BKN070, ,10.00, , , ,54, ,12.2, ,51, ,10.5, ,48, ,8.9, , 80, , 5, ,200, , , ,29.93, , , , , ,30.05, ,AA, , , ,30.05,
24229,20150905,0353,11,BKN070, ,10.00, , , ,53, ,11.7, ,50, ,10.2, ,48, ,8.9, , 83, , 3, ,200, , , ,29.95, , , , , ,30.06, ,AA, , , ,30.07,
24229,20150905,0453,11,BKN070, ,10.00, , , ,53, ,11.7, ,50, ,10.2, ,48, ,8.9, , 83, , 3, ,160, , , ,29.96, , , , , ,30.07, ,AA, , , ,30.08,
24229,20150905,0553,11,FEW050 BKN070, ,10.00, , , ,53, ,11.7, ,50, ,10.2, ,48, ,8.9, , 83, , 3, ,220, , , ,29.98, , , , , ,30.09, ,AA, , , ,30.10,
